author,summary,link,publish_time,title,fetched_at
中国政府网,对外使用国徽图案的办法（全文）,https://www.gov.cn/zhengce/content/202511/content_7048576.htm,2025-11-14,对外使用国徽图案的办法（全文）,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于进一步促进民间投资发展的若干措施》,https://www.gov.cn/zhengce/content/202511/content_7047643.htm,2025-11-10,国办印发《关于进一步促进民间投资发展的若干措施》,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于加快场景培育和开放推动新场景大规模应用的实施意见》,https://www.gov.cn/zhengce/content/202511/content_7047419.htm,2025-11-07,国办印发《关于加快场景培育和开放推动新场景大规模应用的实施意见》,2025-11-20T20:31:30.059576
中国政府网,生态环境监测条例（全文）,https://www.gov.cn/zhengce/content/202511/content_7047288.htm,2025-11-06,生态环境监测条例（全文）,2025-11-20T20:31:30.059576
中国政府网,国务院批复同意《成渝地区双城经济圈国土空间规划（2021—2035年）》,https://www.gov.cn/zhengce/content/202511/content_7047286.htm,2025-11-06,国务院批复同意《成渝地区双城经济圈国土空间规划（2021—2035年）》,2025-11-20T20:31:30.059576
中国政府网,国务院办公厅关于2026年部分节假日安排的通知,https://www.gov.cn/zhengce/content/202511/content_7047090.htm,2025-11-04,国务院办公厅关于2026年部分节假日安排的通知,2025-11-20T20:31:30.059576
中国政府网,国务院批复同意设立“全民阅读活动周”,https://www.gov.cn/zhengce/content/202510/content_7045361.htm,2025-10-22,国务院批复同意设立“全民阅读活动周”,2025-11-20T20:31:30.059576
中国政府网,国办印发《国家地震应急预案》,https://www.gov.cn/zhengce/content/202510/content_7044767.htm,2025-10-17,国办印发《国家地震应急预案》,2025-11-20T20:31:30.059576
中国政府网,密云水库水源保护条例（全文）,https://www.gov.cn/zhengce/content/202510/content_7043916.htm,2025-10-11,密云水库水源保护条例（全文）,2025-11-20T20:31:30.059576
中国政府网,生物医学新技术临床研究和临床转化应用管理条例（全文）,https://www.gov.cn/zhengce/content/202510/content_7043790.htm,2025-10-10,生物医学新技术临床研究和临床转化应用管理条例（全文）,2025-11-20T20:31:30.059576
中国政府网,国办印发《电子印章管理办法》,https://www.gov.cn/zhengce/content/202510/content_7043696.htm,2025-10-09,国办印发《电子印章管理办法》,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于在政府采购中实施本国产品标准及相关政策的通知》,https://www.gov.cn/zhengce/content/202509/content_7042999.htm,2025-09-30,国办印发《关于在政府采购中实施本国产品标准及相关政策的通知》,2025-11-20T20:31:30.059576
