price,pct_change,change,volume,turnover,symbol,name,amplitude,net_inflow,fetched_at
32.96,10.01,3.0,288146,896654721.29,001390,古麒绒材,1615001997,27527360.0,2025-11-20T20:29:01.751268
75.27,8.54,5.92,123793,918417326.0,603092,德力佳,2517966664,113685201.0,2025-11-20T20:29:01.751268
29.98,7.73,2.15,97936,288235576.0,688759,必贝特-U,1392930190,47108918.0,2025-11-20T20:29:01.751268
59.14,3.3,1.89,22262,131012374.88,001221,悍高集团,2065443564,4998906.0,2025-11-20T20:29:01.751268
195.0,2.52,4.8,19441,388723319.8,301629,矽电股份,2034185205,8660228.0,2025-11-20T20:29:01.751268
78.33,2.02,1.55,110353,875071581.0,603175,超颖电子,3446465796,46340829.0,2025-11-20T20:29:01.751268
31.67,1.87,0.58,46840,149259178.69,301665,泰禾股份,1211377500,8276987.0,2025-11-20T20:29:01.751268
34.24,1.84,0.62,36341,125008304.27,301458,钧崴电子,2210237060,12546657.0,2025-11-20T20:29:01.751268
66.27,1.78,1.16,13932,92827069.0,688708,佳驰科技,2545404192,-9683275.0,2025-11-20T20:29:01.751268
52.29,0.98,0.51,19959,103797696.1,301668,昊创瑞通,1205183371,2897663.0,2025-11-20T20:29:01.751268
46.88,0.73,0.34,39402,185354865.0,603334,丰倍生物,1455794081,8187928.0,2025-11-20T20:29:01.751268
21.45,0.7,0.15,33475,71153862.0,688758,赛分科技,911181757,-6138923.0,2025-11-20T20:29:01.751268
40.63,0.64,0.26,15963,65377514.0,603120,肯特催化,918238000,3569484.0,2025-11-20T20:29:01.751268
38.55,0.52,0.2,12333,47485587.83,001335,信凯科技,903415010,2763580.0,2025-11-20T20:29:01.751268
60.71,0.45,0.27,3233,19681667.68,001400,江顺科技,910650000,-758224.0,2025-11-20T20:29:01.751268
26.06,0.42,0.11,24404,63373955.03,301632,广东建科,1794581689,3303711.0,2025-11-20T20:29:01.751268
41.09,0.32,0.13,3240,13260322.0,688755,汉邦科技,723184000,-508197.0,2025-11-20T20:29:01.751268
41.13,0.22,0.09,40113,165165071.0,603376,大明电子,1276576365,397364.0,2025-11-20T20:29:01.751268
23.65,0.21,0.05,76470,180736122.41,001386,马可波罗,2314417475,-4098901.0,2025-11-20T20:29:01.751268
93.26,0.19,0.18,5572,51986472.0,603202,天有为,3102017664,-2900458.0,2025-11-20T20:29:01.751268
78.51,0.17,0.13,39091,309039948.0,688765,禾元生物-U,3217243468,24631375.0,2025-11-20T20:29:01.751268
142.08,0.16,0.22,32733,470319990.78,301662,宏工科技,2362480950,-9384982.0,2025-11-20T20:29:01.751268
